timestep,timestamp,line_001_002_p_kw,line_001_002_q_kvar,line_001_002_current_a,line_001_002_loss_kw,line_002_003_p_kw,line_002_003_q_kvar,line_002_003_current_a,line_002_003_loss_kw,line_002_005_p_kw,line_002_005_q_kvar,line_002_005_current_a,line_002_005_loss_kw,line_003_004_p_kw,line_003_004_q_kvar,line_003_004_current_a,line_003_004_loss_kw
0,2026-01-01 00:00:00,287.3,0.0,15.079339303470864,0.0,127.3,0.0,6.697438395021196,0.0,60.0,0.0,3.1566873817853245,0.0,47.3,0.0,2.4937997925988356,0.0
1,2026-01-01 01:00:00,280.79999999999995,0.0,14.738177780767899,0.0,136.79999999999998,0.0,7.196858788167505,0.0,54.0,0.0,2.8408653111187525,0.0,64.8,0.0,3.416809177731134,0.0
2,2026-01-01 02:00:00,305.20000000000005,0.0,16.01884565060671,0.0,169.20000000000002,0.0,8.903181881630982,0.0,51.0,0.0,2.6835831912717496,0.0,101.20000000000002,0.0,5.340102470899577,0.0
3,2026-01-01 03:00:00,297.4,0.0,15.609451823363154,0.0,165.39999999999998,0.0,8.702664799903495,0.0,49.5,0.0,2.6044855356422194,0.0,99.4,0.0,5.244445802650761,0.0
4,2026-01-01 04:00:00,273.0,0.0,14.328783953524349,0.0,133.0,0.0,6.996492942068426,0.0,52.5,0.0,2.761773529763852,0.0,63.0,0.0,3.3214711967879853,0.0
5,2026-01-01 05:00:00,327.6,0.0,17.19454074422922,0.0,159.60000000000002,0.0,8.399599806994177,0.0,63.0,0.0,3.3156315027608585,0.0,75.6,0.0,3.989353149277647,0.0
6,2026-01-01 06:00:00,419.00000000000006,0.0,21.99179661731393,0.0,209.00000000000003,0.0,11.007839397358765,0.0,72.50000000000001,0.0,3.8185088818589024,0.0,99.0,0.0,5.232473360349932,0.0
7,2026-01-01 07:00:00,500.49999999999994,0.0,26.26943724812797,0.0,260.5,0.0,13.729612714736541,0.0,65.0,0.0,3.425815072774953,0.0,120.5,0.0,6.378688850815028,0.0
8,2026-01-01 08:00:00,478.4,0.0,25.109488070937907,0.0,256.4,0.0,13.51103476703418,0.0,27.00000000000001,0.0,1.4227688717235687,0.0,100.39999999999999,0.0,5.31333858058212,0.0
9,2026-01-01 09:00:00,371.59999999999997,0.0,19.50394182098772,0.0,233.59999999999997,0.0,12.298648502529392,0.0,-41.99999999999999,0.0,2.2112296108999763,0.0,89.59999999999998,0.0,4.735724095086635,0.0
10,2026-01-01 10:00:00,320.40000000000003,0.0,16.816638749850558,0.0,258.40000000000003,0.0,13.59853851816266,0.0,-108.0,0.0,5.683599690253742,0.0,122.4,0.0,6.469250633973011,0.0
11,2026-01-01 11:00:00,269.80000000000007,0.0,14.16082751157828,0.0,250.8,0.0,13.193036207128197,0.0,-146.0,0.0,7.680156643703017,0.0,118.8,0.0,6.275518985709143,0.0
12,2026-01-01 12:00:00,287.00000000000006,0.0,15.063593387038422,0.0,287.00000000000006,0.0,15.099450360973588,0.0,-162.5,0.0,8.549340361178423,0.0,157.0,0.0,8.299632274063953,0.0
13,2026-01-01 13:00:00,289.2,0.0,15.179063440876343,0.0,283.2,0.0,14.899799524014627,0.0,-154.0,0.0,8.102292114047502,0.0,155.20000000000002,0.0,8.20410584329836,0.0
14,2026-01-01 14:00:00,314.53684210526325,0.0,16.50890276904805,0.0,265.5368421052632,0.0,13.973440738399633,0.0,-115.99999999999999,0.0,6.104309717639099,0.0,133.5368421052632,0.0,7.058367620078527,0.0
15,2026-01-01 15:00:00,386.0,0.0,20.259745809745052,0.0,266.0,0.0,14.006131449472502,0.0,-55.00000000000001,0.0,2.896004623011232,0.0,126.0,0.0,6.664036718449845,0.0
16,2026-01-01 16:00:00,544.6,0.0,28.584086963697292,0.0,311.59999999999997,0.0,16.42886917998499,0.0,27.999999999999996,0.0,1.4762783602040426,0.0,147.6,0.0,7.822859067502673,0.0
17,2026-01-01 17:00:00,695.5,0.0,36.50428292921679,0.0,355.50000000000006,0.0,18.76709480810913,0.0,102.49999999999999,0.0,5.4110470262480606,0.0,165.5,0.0,8.789264139598073,0.0
18,2026-01-01 18:00:00,735.0,0.0,38.57749525948863,0.0,339.99999999999994,0.0,17.954769327369277,0.0,145.0,0.0,7.657181036672193,0.0,139.99999999999997,0.0,7.435561851000587,0.0
19,2026-01-01 19:00:00,708.8,0.0,37.20235189105516,0.0,324.79999999999995,0.0,17.148327160709496,0.0,144.0,0.0,7.6027066229746545,0.0,132.8,0.0,7.04978569278477,0.0
20,2026-01-01 20:00:00,663.0,0.0,34.79847531570199,0.0,323.0,0.0,17.046765674912578,0.0,127.5,0.0,6.728986450623386,0.0,153.0,0.0,8.11872754104208,0.0
21,2026-01-01 21:00:00,546.0,0.0,28.657567907048698,0.0,266.0,0.0,14.024808167372987,0.0,105.0,0.0,5.536108487120916,0.0,126.0,0.0,6.673002497915126,0.0
22,2026-01-01 22:00:00,431.1052631578948,0.0,22.627158157570456,0.0,211.10526315789474,0.0,11.11984197051031,0.0,82.5,0.0,4.345637568879309,0.0,101.10526315789474,0.0,5.3444742099941465,0.0
23,2026-01-01 23:00:00,398.8,0.0,20.931571577529343,0.0,214.79999999999998,0.0,11.311418745941747,0.0,69.0,0.0,3.6335563010706733,0.0,122.8,0.0,6.4899133767538455,0.0
