timestep,timestamp,price_per_kwh,grid_import_kw,grid_export_kw,grid_q_kvar,grid_cost,bus_001_voltage_pu,bus_001_p_load_kw,bus_001_q_load_kvar,bus_001_load_current_a,bus_002_voltage_pu,bus_002_p_load_kw,bus_002_q_load_kvar,bus_002_load_current_a,bus_003_voltage_pu,bus_003_p_load_kw,bus_003_q_load_kvar,bus_003_load_current_a,bus_004_voltage_pu,bus_004_p_load_kw,bus_004_q_load_kvar,bus_004_load_current_a,bus_005_voltage_pu,bus_005_p_load_kw,bus_005_q_load_kvar,bus_005_load_current_a
0,2026-01-01 00:00:00,0.3,287.3,0.0,0.0,86.19,1.0,0.0,0.0,0.0,0.997622794281196,100.0,32.9,9.593079813722962,0.9955114139007205,80.0,26.3,7.6901700373127815,0.9945685554903936,72.0,23.7,6.928571224188297,0.9966281997791561,60.0,19.7,5.760452749810072
1,2026-01-01 01:00:00,0.28,280.79999999999995,0.0,0.0,78.624,1.0,0.0,0.0,0.0,0.9976766398417628,90.0,29.6,8.63302113147983,0.9954076369188473,72.0,23.7,6.922730767249541,0.9941155793588424,64.8,21.3,6.23769822921002,0.9967815978031538,54.0,17.7,5.182756763851221
2,2026-01-01 02:00:00,0.27,305.20000000000005,0.0,0.0,82.40400000000002,1.0,0.0,0.0,0.0,0.9974744968673768,85.0,27.9,8.153480690898203,0.9946667700647661,68.0,22.4,6.5434809055056204,0.9926466833755748,61.2,20.1,5.899400584417706,0.9966290290211314,51.0,16.8,4.897948103858924
3,2026-01-01 03:00:00,0.27,297.4,0.0,0.0,80.298,1.0,0.0,0.0,0.0,0.9975391207971049,82.5,27.1,7.9137451063935,0.994794716977136,66.0,21.7,6.349032431906065,0.9928108522924959,59.4,19.5,5.724689927763617,0.9967185830936922,49.5,16.3,4.753295839221591
4,2026-01-01 04:00:00,0.28,273.0,0.0,0.0,76.44000000000001,1.0,0.0,0.0,0.0,0.9977412506786442,87.5,28.8,8.393304280416217,0.9955354886144989,70.0,23.0,6.72837966207591,0.9942795057413133,63.0,20.7,6.063191110961313,0.9968711381696745,52.5,17.3,5.040948716918399
5,2026-01-01 05:00:00,0.32,327.6,0.0,0.0,104.83200000000001,1.0,0.0,0.0,0.0,0.9972888869163951,105.0,34.5,10.074825091824373,0.9946401816280552,84.0,27.6,8.08132330649007,0.9931314528523543,75.6,24.8,7.283098017478755,0.9962441866022822,63.0,20.7,6.051233966626318
6,2026-01-01 06:00:00,0.4,419.00000000000006,0.0,0.0,167.60000000000002,1.0,0.0,0.0,0.0,0.9965311737047112,137.5,45.2,13.203865149741635,0.9930585527833685,110.0,36.2,10.601174235015439,0.9910792180895156,99.0,32.5,9.55782037492641,0.995327928850795,82.5,27.1,7.931326055281984
7,2026-01-01 07:00:00,0.55,500.49999999999994,0.0,0.0,275.275,1.0,0.0,0.0,0.0,0.9958550460419793,175.0,57.5,16.81555152301311,0.9915219122537529,140.0,46.0,13.51123086981126,0.9891084557267128,126.0,41.4,12.189778837938462,0.9947756090680421,105.0,34.5,10.100278907236108
8,2026-01-01 08:00:00,0.62,478.4,0.0,0.0,296.608,1.0,0.0,0.0,0.0,0.9960384339891062,195.0,64.1,18.734693149114353,0.9917744344989035,156.0,51.3,15.052764924031246,0.9897644765338188,140.4,46.1,13.572992795654143,0.9955902771722914,117.0,38.5,11.247016975375708
9,2026-01-01 09:00:00,0.58,371.59999999999997,0.0,0.0,215.52799999999996,1.0,0.0,0.0,0.0,0.9969241953326589,180.0,59.2,17.279074084993418,0.9930435726543335,144.0,47.3,13.875562802494132,0.9912523175381701,129.6,42.6,12.511432012380565,0.9976203090313145,108.0,35.5,10.359641059262124
10,2026-01-01 10:00:00,0.5,320.40000000000003,0.0,0.0,160.20000000000002,1.0,0.0,0.0,0.0,0.9973485510248686,170.0,55.9,16.31186560863477,0.993056888335746,136.0,44.7,13.105316267863014,0.9906091289105868,122.4,40.2,11.823069772163858,0.9991368175406655,102.0,33.5,9.768466008556798
11,2026-01-01 11:00:00,0.48,269.80000000000007,0.0,0.0,129.50400000000002,1.0,0.0,0.0,0.0,0.9977677564783143,165.0,54.2,15.823863387823835,0.9936043411624466,132.0,43.4,12.71327762877404,0.9912299730658533,118.8,39.0,11.467640085003104,1.00018345424665,99.0,32.5,9.470819681732236
12,2026-01-01 12:00:00,0.46,287.00000000000006,0.0,0.0,132.02000000000004,1.0,0.0,0.0,0.0,0.9976252795248862,162.5,53.4,15.586936889513016,0.9928587991458414,130.0,42.7,12.528841289149327,0.9897173818155204,117.0,38.5,11.313755778781426,1.0003140002886861,97.5,32.0,9.325890430242675
13,2026-01-01 13:00:00,0.45,289.2,0.0,0.0,130.14,1.0,0.0,0.0,0.0,0.9976070542607164,160.0,52.6,15.348031099590566,0.9929037472180621,128.0,42.1,12.337158824382486,0.9897985436566339,115.2,37.9,11.138563746361639,1.0001553598324877,96.0,31.6,9.186491553615431
14,2026-01-01 14:00:00,0.47,314.53684210526325,0.0,0.0,147.8323157894737,1.0,0.0,0.0,0.0,0.9973971345116971,165.0,54.2,15.82974336397912,0.9929868914075236,132.0,43.4,12.721182879310659,0.9903159279914566,118.8,39.0,11.47822452542093,0.9993176445334817,99.0,32.5,9.479025208490384
15,2026-01-01 15:00:00,0.52,386.0,0.0,0.0,200.72,1.0,0.0,0.0,0.0,0.9968048127445732,175.0,57.5,16.799529478658872,0.9923842231116896,140.0,46.0,13.499490577279609,0.9898626668248246,126.0,41.4,12.18049101772741,0.9977164008519283,105.0,34.5,10.070508105433113
16,2026-01-01 16:00:00,0.68,544.6,0.0,0.0,370.32800000000003,1.0,0.0,0.0,0.0,0.9954889989886568,205.0,67.4,19.706682690178244,0.9903017321307467,164.0,53.9,15.847352749404633,0.9873410322930911,147.6,48.5,14.305098755660644,0.9950239832650906,123.0,40.4,11.828394536228524
17,2026-01-01 17:00:00,0.95,695.5,0.0,0.0,660.725,1.0,0.0,0.0,0.0,0.9942354511037137,237.5,78.1,22.860116415698187,0.9883076778593307,190.0,62.4,18.39548589166609,0.9849805971995104,171.0,56.2,16.613012474975108,0.9925299504193004,142.5,46.8,13.73792292389225
18,2026-01-01 18:00:00,1.1,735.0,0.0,0.0,808.5000000000001,1.0,0.0,0.0,0.0,0.9939070578627669,250.0,82.2,24.070930350621037,0.9882365962905512,200.0,65.7,19.365515405846498,0.9854226764387297,180.0,59.2,17.480749570863477,0.9914927388739009,150.0,49.3,14.477153661617205
19,2026-01-01 19:00:00,1.0,708.8,0.0,0.0,708.8,1.0,0.0,0.0,0.0,0.9941248903033568,240.0,78.9,23.10268696113046,0.9887098196326446,192.0,63.1,18.582800331611505,0.9860420925419273,172.8,56.8,16.770056196448017,0.9917277685646141,144.0,47.3,13.893972615006597
20,2026-01-01 20:00:00,0.8,663.0,0.0,0.0,530.4,1.0,0.0,0.0,0.0,0.9945055667587033,212.5,69.8,20.445979722245646,0.9891226599181906,170.0,55.9,16.447520806600302,0.98604980344607,153.0,50.3,14.848611072630543,0.9923842231116896,127.5,41.9,12.29438318679202
