timestep,timestamp,bess_b1_p_net_kw,bess_b1_q_injection_kvar,bess_b1_p_charge_kw,bess_b1_p_discharge_kw,bess_b1_soc_kwh,bess_b1_soc_frac,bess_b1_inverter_loss_kw,pv_pv1_p_net_kw,pv_pv1_q_injection_kvar,pv_pv1_available_kw,pv_pv1_generation_kw,pv_pv1_curtailment_kw,pv_pv1_inverter_loss_kw
0,2026-01-01 00:00:00,-24.699999999999996,0.0,0.0,24.699999999999996,24.000000000000007,0.24000000000000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,2026-01-01 01:00:00,0.0,0.0,0.0,0.0,24.000000000000007,0.24000000000000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,2026-01-01 02:00:00,40.0,0.0,40.0,0.0,62.00000000000001,0.6200000000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3,2026-01-01 03:00:00,40.0,0.0,40.0,0.0,100.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4,2026-01-01 04:00:00,0.0,0.0,0.0,0.0,100.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5,2026-01-01 05:00:00,0.0,0.0,0.0,-0.0,100.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
6,2026-01-01 06:00:00,0.0,0.0,0.0,-0.0,100.0,1.0,0.0,-10.0,0.0,10.0,10.0,0.0,0.0
7,2026-01-01 07:00:00,-5.5000000000000115,0.0,0.0,5.5000000000000115,94.21052631578947,0.9421052631578947,0.0,-40.0,0.0,40.0,40.0,0.0,0.0
8,2026-01-01 08:00:00,-40.0,0.0,0.0,40.0,52.10526315789474,0.5210526315789474,0.0,-90.0,0.0,90.0,90.0,0.0,0.0
9,2026-01-01 09:00:00,-40.0,0.0,0.0,40.0,10.000000000000002,0.10000000000000002,0.0,-150.0,0.0,150.0,150.0,0.0,0.0
10,2026-01-01 10:00:00,0.0,0.0,0.0,0.0,10.000000000000002,0.10000000000000002,0.0,-210.0,0.0,210.0,210.0,0.0,0.0
11,2026-01-01 11:00:00,-0.0,0.0,-0.0,0.0,10.000000000000002,0.10000000000000002,0.0,-245.0,0.0,245.0,245.0,0.0,0.0
12,2026-01-01 12:00:00,40.0,0.0,40.0,0.0,48.0,0.48,0.0,-260.0,0.0,260.0,260.0,0.0,0.0
13,2026-01-01 13:00:00,40.0,0.0,40.0,0.0,86.0,0.86,0.0,-250.0,0.0,250.0,250.0,0.0,0.0
14,2026-01-01 14:00:00,14.736842105263172,0.0,14.736842105263172,0.0,100.0,1.0,0.0,-215.0,0.0,215.0,215.0,0.0,0.0
15,2026-01-01 15:00:00,0.0,0.0,0.0,0.0,100.0,1.0,0.0,-160.0,0.0,160.0,160.0,0.0,0.0
16,2026-01-01 16:00:00,-0.0,0.0,-0.0,0.0,100.0,1.0,0.0,-95.0,0.0,95.0,95.0,0.0,0.0
17,2026-01-01 17:00:00,-5.5000000000000115,0.0,0.0,5.5000000000000115,94.21052631578947,0.9421052631578947,0.0,-40.0,0.0,40.0,40.0,0.0,0.0
18,2026-01-01 18:00:00,-40.0,0.0,0.0,40.0,52.10526315789474,0.5210526315789474,0.0,-5.0,0.0,5.0,5.0,0.0,0.0
19,2026-01-01 19:00:00,-40.0,0.0,0.0,40.0,10.000000000000002,0.10000000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
20,2026-01-01 20:00:00,-0.0,0.0,-0.0,0.0,10.000000000000002,0.10000000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
21,2026-01-01 21:00:00,0.0,0.0,0.0,-0.0,10.000000000000002,0.10000000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
22,2026-01-01 22:00:00,2.105263157894739,0.0,2.105263157894739,0.0,12.000000000000004,0.12000000000000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
23,2026-01-01 23:00:00,40.0,0.0,40.0,0.0,50.0,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
