timestep,timestamp,price_per_kwh,grid_import_total_kw,grid_export_total_kw,grid_import_a_kw,grid_export_a_kw,grid_q_a_kvar,grid_import_b_kw,grid_export_b_kw,grid_q_b_kvar,grid_import_c_kw,grid_export_c_kw,grid_q_c_kvar,bus_001_voltage_a_pu,bus_001_angle_a_deg,bus_001_p_load_a_kw,bus_001_q_load_a_kvar,bus_001_voltage_b_pu,bus_001_angle_b_deg,bus_001_p_load_b_kw,bus_001_q_load_b_kvar,bus_001_voltage_c_pu,bus_001_angle_c_deg,bus_001_p_load_c_kw,bus_001_q_load_c_kvar,bus_002_voltage_a_pu,bus_002_angle_a_deg,bus_002_p_load_a_kw,bus_002_q_load_a_kvar,bus_002_voltage_b_pu,bus_002_angle_b_deg,bus_002_p_load_b_kw,bus_002_q_load_b_kvar,bus_002_voltage_c_pu,bus_002_angle_c_deg,bus_002_p_load_c_kw,bus_002_q_load_c_kvar,bus_003_voltage_a_pu,bus_003_angle_a_deg,bus_003_p_load_a_kw,bus_003_q_load_a_kvar,bus_003_voltage_b_pu,bus_003_angle_b_deg,bus_003_p_load_b_kw,bus_003_q_load_b_kvar,bus_003_voltage_c_pu,bus_003_angle_c_deg,bus_003_p_load_c_kw,bus_003_q_load_c_kvar,bus_004_voltage_a_pu,bus_004_angle_a_deg,bus_004_p_load_a_kw,bus_004_q_load_a_kvar,bus_004_voltage_b_pu,bus_004_angle_b_deg,bus_004_p_load_b_kw,bus_004_q_load_b_kvar,bus_004_voltage_c_pu,bus_004_angle_c_deg,bus_004_p_load_c_kw,bus_004_q_load_c_kvar,bus_005_voltage_a_pu,bus_005_angle_a_deg,bus_005_p_load_a_kw,bus_005_q_load_a_kvar,bus_005_voltage_b_pu,bus_005_angle_b_deg,bus_005_p_load_b_kw,bus_005_q_load_b_kvar,bus_005_voltage_c_pu,bus_005_angle_c_deg,bus_005_p_load_c_kw,bus_005_q_load_c_kvar
0,2026-01-01 00:00:00,0.3,295.37641614197014,0.0,95.73724333666205,0.0,33.95671955386415,102.13762779462981,0.0,36.22743349550178,97.5015450106783,0.0,34.83270209908036,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9959598436568098,-0.21799623575450652,40.0,13.16,0.9955746581507028,-120.24261913140245,35.0,11.515,0.9959589887510325,119.76770496150627,25.0,8.225,0.9944404085381895,-0.28382154152845496,20.0,6.575,0.9908314360203013,-120.38601730974348,36.0,11.835,0.9917495527851725,119.54244559943807,24.0,7.89,0.9942901884204451,-0.3135921409011941,14.4,4.74,0.9890681816930137,-120.39331914711866,21.6,7.109999999999999,0.9885145606010751,119.41156849189262,36.0,11.85,0.993790192770548,-0.3071493007760046,27.0,8.865,0.9948390505639589,-120.28977886935276,15.0,4.925,0.9945932966881229,119.73673407358052,18.0,5.909999999999999
1,2026-01-01 01:00:00,0.28,282.08532165001185,0.0,91.56821338775441,0.0,30.566960293977672,97.34062842210052,0.0,32.62261228611417,93.17647984015692,0.0,31.36962472510909,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9962303625820206,-0.21154573447267008,36.0,11.840000000000002,0.9958819672838404,-120.2336942069615,31.5,10.36,0.9962276534196097,119.77552202536498,22.5,7.4,0.9945930506804361,-0.2939395599411979,18.0,5.925,0.9913424522102385,-120.38591477785377,32.4,10.665,0.9921683214883775,119.54959399060382,21.6,7.109999999999999,0.994135426282952,-0.34552256849536994,12.96,4.260000000000001,0.9894313214616295,-120.41750047580801,19.44,6.39,0.9889337424446227,119.40680660961371,32.4,10.65,0.9942797972011619,-0.2917658051398712,24.3,7.965,0.995220646369434,-120.27611787611615,13.5,4.425,0.9949994498436596,119.74763323223948,16.2,5.31
2,2026-01-01 02:00:00,0.27,301.12653608057104,0.0,98.01392771433339,0.0,29.050298747319047,103.51684802288833,0.0,31.01535014445724,99.59576034334934,0.0,29.877999414830754,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.996147789834352,-0.23245912629411408,34.0,11.16,0.9958149370935918,-120.2534183424943,29.75,9.765,0.9961383407977923,119.75520942726533,21.25,6.975,0.9940261983105129,-0.3595801134057451,17.0,5.6,0.9909455739941117,-120.44662368441129,30.6,10.08,0.9917188262643778,119.4922311345882,20.4,6.72,0.9929080133062387,-0.461099060899451,12.240000000000002,4.0200000000000005,0.9884483904243774,-120.52956024675262,18.36,6.03,0.9879691416100788,119.30397325261448,30.6,10.05,0.9943028681522679,-0.3081077713268448,22.95,7.56,0.9951890043671597,-120.29345397012672,12.75,4.2,0.9949770932579041,119.72895119159652,15.3,5.04
3,2026-01-01 03:00:00,0.27,297.1922839996744,0.0,96.77029577803461,0.0,28.200348015406128,102.11298699461226,0.0,30.098346495137278,98.30900122702754,0.0,28.998681890372072,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9962202083414703,-0.23027190420681565,33.0,10.840000000000002,0.995897683163269,-120.25063845246093,28.875,9.485,0.9962113882780735,119.75774582411746,20.625,6.775,0.9940796145177211,-0.36069572597281835,16.5,5.425,0.9910912936784769,-120.44524211619445,29.7,9.765,0.9918410882939852,119.49546517704273,19.8,6.51,0.9928964608881907,-0.46674050234340475,11.88,3.9,0.988569422622473,-120.53330015643358,17.82,5.85,0.9881039476083561,119.3051931613689,29.7,9.75,0.9944300095024993,-0.30368943888161215,22.275,7.335000000000001,0.9952903150056583,-120.2894911092369,12.375,4.075,0.9950844976536246,119.73225780020906,14.85,4.89
4,2026-01-01 04:00:00,0.28,274.21444961063435,0.0,89.01640230897002,0.0,29.74035040459934,94.62291474272327,0.0,31.70446092165885,90.57513255894106,0.0,30.489860680301767,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9963333381860869,-0.20558263539942473,35.0,11.52,0.9959972382316866,-120.22719086197623,30.625,10.08,0.9963334406186722,119.78183297499389,21.875,7.2,0.9947422712374739,-0.28569626317077473,17.5,5.75,0.9915867626244015,-120.37520975356097,31.5,10.35,0.9923898171200966,119.56222079802453,21.0,6.9,0.9942974492360279,-0.335824934474803,12.6,4.14,0.9897293619672142,-120.40591673860332,18.9,6.21,0.989246612224412,119.4234592184081,31.5,10.35,0.994434168484491,-0.28342286278052964,23.625,7.785,0.9953529125915049,-120.26838817483923,13.125,4.325,0.9951381533065311,119.75481918828677,15.75,5.19
5,2026-01-01 05:00:00,0.32,329.35360549694184,0.0,106.89008896895584,0.0,35.761611993493574,113.66314304088165,0.0,38.177650110672765,108.80037348710435,0.0,36.742853223819644,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9955975532292337,-0.2469929188122891,42.0,13.8,0.9951886897926199,-120.27291659190497,36.75,12.075,0.995590557275471,119.73784979446658,26.25,8.625,0.993687759849331,-0.343339748373716,21.0,6.9,0.9898862954693057,-120.45099273052425,37.8,12.420000000000002,0.9908470756445267,119.47361338745478,25.2,8.28,0.993154795916561,-0.4036911853546679,15.12,4.960000000000001,0.987653829571317,-120.48800509554843,22.68,7.439999999999999,0.9870678459643133,119.30638744308953,37.8,12.4,0.9933177471048663,-0.3406604162543784,28.35,9.315,0.9944157349108558,-120.32246998216112,15.75,5.175,0.994155740098632,119.70532095872112,18.9,6.21
6,2026-01-01 06:00:00,0.4,421.9266637065931,0.0,136.77776921626025,0.0,47.11640574320241,145.76557570196502,0.0,50.41759218709806,139.3833187883678,0.0,48.60370989869586,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9943061232120627,-0.3143546254836714,55.0,18.08,0.99375730495812,-120.34831768232937,48.125,15.82,0.994279340577683,119.66564518278996,34.375,11.3,0.9918018644048703,-0.44096513532823467,27.5,9.05,0.9867859704178872,-120.58235319807713,49.5,16.290000000000003,0.9880336303569156,119.31817117912078,33.0,10.86,0.9911042777222011,-0.5204528402716659,19.8,6.5,0.9838519034416904,-120.63104608882125,29.7,9.75,0.9830607491862143,119.09769604209268,49.5,16.25,0.991481925112365,-0.4249189248068543,37.125,12.195,0.9929103256932855,-120.40093670035115,20.625,6.775,0.9925642838507369,119.63540003579713,24.75,8.13
7,2026-01-01 07:00:00,0.55,504.8312681933341,0.0,163.25380355435684,0.0,60.14800734403784,174.8637370372737,0.0,64.51606034358059,166.71372760170357,0.0,62.3253579163113,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9930183254941126,-0.3694304787282093,70.0,23.0,0.992302935655061,-120.4127226774945,61.24999999999999,20.125,0.9929600465543337,119.60495320837708,43.75,14.375,0.9899215500807842,-0.5233146220184751,35.0,11.5,0.9834921335201815,-120.70394128545563,63.0,20.7,0.9850626846178872,119.16871327008585,42.0,13.8,0.9891446295429631,-0.6165724710376179,25.200000000000003,8.28,0.9798553684407166,-120.75757950669879,37.8,12.42,0.9788129747643955,118.89475663925886,63.0,20.7,0.9898738803670406,-0.4763787014309122,47.25,15.525,0.9916784258438373,-120.44575573541624,26.25,8.625,0.9912293382642909,119.60048153158048,31.5,10.35
8,2026-01-01 08:00:00,0.62,482.52719544847344,0.0,155.26214029332047,0.0,66.65580407114166,168.1964363224227,0.0,71.53988641387946,159.06861883273032,0.0,69.04678447016384,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9928927063551012,-0.3359231391611712,78.0,25.64,0.9920946222365539,-120.38421994015755,68.25,22.434999999999995,0.9928321539458475,119.63558423219243,48.75,16.025,0.9900115082390061,-0.45847635360818223,39.0,12.825,0.9828479578687022,-120.65968660785072,70.2,23.085,0.9846106938074389,119.19855244751963,46.8,15.39,0.9898248425835432,-0.5100456978109869,28.08,9.22,0.9794835581902601,-120.66637917503006,42.12,13.83,0.9783361124419806,118.94638420263229,70.2,23.05,0.9901480558144328,-0.3980906957059105,52.65,17.325,0.9921548178216727,-120.36416275589453,29.25,9.625,0.9916604744033916,119.68744811961399,35.1,11.55
9,2026-01-01 09:00:00,0.58,374.60799133030145,0.0,119.73341643672774,0.0,61.04840173588245,131.65121660430324,0.0,65.5153779354859,123.22335828927048,0.0,63.20047109592109,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9940401978029598,-0.242981377524894,72.0,23.680000000000003,0.9933060201392673,-120.2875117583904,62.99999999999999,20.72,0.9939886017304701,119.73076623465231,45.0,14.8,0.9914341080629668,-0.3513650687179196,36.0,11.825,0.984842741670418,-120.53659409455685,64.8,21.285,0.9864730298191833,119.33313136184921,43.2,14.19,0.9913215835746201,-0.3939864647374124,25.92,8.520000000000001,0.9818051443080665,-120.53790847655786,38.88,12.78,0.9807568637166025,119.1062931523238,64.8,21.3,0.992629838190235,-0.21670197256322468,48.6,15.975,0.994472289536938,-120.18563587647847,27.0,8.875,0.9940205137021917,119.86177579631669,32.4,10.65
