timestep,timestamp,bess_b1_p_net_a_kw,bess_b1_q_injection_a_kvar,bess_b1_p_net_b_kw,bess_b1_q_injection_b_kvar,bess_b1_p_net_c_kw,bess_b1_q_injection_c_kvar,bess_b1_p_net_total_kw,bess_b1_soc_kwh,bess_b1_soc_frac,pv_pv1_available_a_kw,pv_pv1_generation_a_kw,pv_pv1_q_injection_a_kvar,pv_pv1_available_b_kw,pv_pv1_generation_b_kw,pv_pv1_q_injection_b_kvar,pv_pv1_available_c_kw,pv_pv1_generation_c_kw,pv_pv1_q_injection_c_kvar,pv_pv1_generation_total_kw
0,2026-01-01 00:00:00,-6.989573097026752,0.0,-6.989573097026752,0.0,-6.989573097026752,0.0,-20.968719291080255,27.927663904126046,0.27927663904126043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.927663904126046,0.27927663904126043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-01-01 02:00:00,12.75625876567473,0.0,12.75625876567473,0.0,12.75625876567473,0.0,38.26877629702419,64.28300138629902,0.6428300138629902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-01-01 03:00:00,12.532280215333879,0.0,12.532280215333879,0.0,12.532280215333879,0.0,37.59684064600164,100.00000000000057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-01-01 05:00:00,-2.0031134951307912e-15,0.0,-2.0031134951307912e-15,0.0,-2.0031134951307912e-15,0.0,-6.009340485392374e-15,100.00000000000057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-01-01 06:00:00,1.5187453219084842e-17,0.0,1.5187453219084842e-17,0.0,1.5187453219084842e-17,0.0,4.5562359657254526e-17,100.00000000000057,1.0,3.333333333333333,3.3333333333333335,0.0,3.333333333333333,3.3333333333333335,0.0,3.333333333333333,3.3333333333333335,0.0,10.0
7,2026-01-01 07:00:00,-1.8333333333333302,0.0,-1.8333333333333302,0.0,-1.8333333333333302,0.0,-5.49999999999999,94.21052631579005,0.9421052631579004,13.333333333333334,13.333333333333334,0.0,13.333333333333334,13.333333333333334,0.0,13.333333333333334,13.333333333333334,0.0,40.0
8,2026-01-01 08:00:00,-13.333333333333334,0.0,-13.333333333333334,0.0,-13.333333333333334,0.0,-40.0,52.10526315789531,0.5210526315789531,30.0,30.0,0.0,30.0,30.0,0.0,30.0,30.0,0.0,90.0
9,2026-01-01 09:00:00,-13.333333333333334,0.0,-13.333333333333334,0.0,-13.333333333333334,0.0,-40.0,10.000000000000568,0.10000000000000568,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,150.0
10,2026-01-01 10:00:00,1.3915308949097322e-16,0.0,1.3915308949097322e-16,0.0,1.3915308949097322e-16,0.0,4.1745926847291962e-16,10.000000000000568,0.10000000000000568,70.0,70.0,0.0,70.0,70.0,0.0,70.0,70.0,0.0,210.0
11,2026-01-01 11:00:00,1.9082184168075916e-17,0.0,1.9082184168075916e-17,0.0,1.9082184168075916e-17,0.0,5.724655250422775e-17,10.000000000000568,0.10000000000000568,81.66666666666667,81.66666666666667,0.0,81.66666666666667,81.66666666666667,0.0,81.66666666666667,81.66666666666667,0.0,245.0
12,2026-01-01 12:00:00,13.333333333333334,0.0,13.333333333333334,0.0,13.333333333333334,0.0,40.0,48.00000000000057,0.4800000000000057,86.66666666666667,86.66666666666667,0.0,86.66666666666667,86.66666666666667,0.0,86.66666666666667,86.66666666666667,0.0,260.0
